20,,,Abbott,i-STAT,CHEM8+,,"Na, K, Cl, TCO2, iCa, Glu, BUN, Crea, Hct","Abbott i-STAT CHEM8+",Q-10010,199.000000,75.000000,Assessment,"Blood gas",Active,"Abbott i-STAT CHEM8+",350,i-STAT,CHEM8+,CHEM8+,"Na, K, Cl, TCO2, iCa, Glu, BUN, Crea, Hct",Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
21,,,Abbott,i-STAT,G,,Glu,"Abbott i-STAT G",Q-10011,199.000000,75.000000,Assessment,Chemistry,Active,"Abbott i-STAT G",360,i-STAT,G,G,Glu,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
22,,,Abbott,i-STAT,Crea,,Crea,"Abbott i-STAT Crea",Q-10012,199.000000,75.000000,Assessment,Chemistry,Active,"Abbott i-STAT Crea",370,i-STAT,Crea,Crea,Crea,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
23,,,Abbott,i-STAT,PT/INR,,PT/INR,"Abbott i-STAT PT/INR",Q-10013,199.000000,75.000000,Assessment,Coagulation,Active,"Abbott i-STAT PT/INR",380,i-STAT,PT/INR,PT/INR,PT/INR,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
24,,,Abbott,i-STAT,ACTc,,ACTc,"Abbott i-STAT ACTc",Q-10014,199.000000,75.000000,Assessment,Coagulation,Active,"Abbott i-STAT ACTc",390,i-STAT,ACTc,ACTc,ACTc,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
25,,,Abbott,i-STAT,ACTk,,ACTk,"Abbott i-STAT ACTk",Q-10015,199.000000,75.000000,Assessment,Coagulation,Active,"Abbott i-STAT ACTk",400,i-STAT,ACTk,ACTk,ACTk,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
26,,,Abbott,i-STAT,cTnI,,cTnI,"Abbott i-STAT cTnI",Q-10016,199.000000,75.000000,Assessment,"Cardiac Markers",Active,"Abbott i-STAT cTnI",410,i-STAT,cTnI,cTnI,cTnI,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
27,,,Abbott,i-STAT,CKMB,,CKMB,"Abbott i-STAT CKMB",Q-10017,199.000000,75.000000,Assessment,"Cardiac Markers",Active,"Abbott i-STAT CKMB",420,i-STAT,CKMB,CKMB,CKMB,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
28,,,Abbott,i-STAT,BNP,,BNP,"Abbott i-STAT BNP",Q-10018,199.000000,75.000000,Assessment,"Cardiac Markers",Active,"Abbott i-STAT BNP",430,i-STAT,BNP,BNP,BNP,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
29,,,Abbott,i-STAT,ß-hCG,,ß-hCG,"Abbott i-STAT bhCG",Q-10019,199.000000,75.000000,Assessment,Chemistry,Active,"Abbott i-STAT bhCG",440,i-STAT,ß-hCG,ß-hCG,ß-hCG,Handheld,handheld,Cartridge,cartridge,"Cartridge port","cartridge port",,,Customizations,customizations,"Liquid control","liquid control","External simulator","external simulator","Internal simulator","internal simulator","Calibration verification controls","calibration verification controls",,,"Test personnel","test personnel",,,,,,,0
30,,,Werfen,AVOXimeter,1000E,,"%HbO2, THb,O2","Werfen Diagnostics AVOXimeter 1000E",Q-10020,199.000000,75.000000,Assessment,Co-oximetry,Active,"Werfen Diagnostics AVOXimeter 1000E",450,AVOXimeter,1000E,1000E,"%HbO2, THb,O2",Instrument,instrument,Cuvette,cuvette,"Test chamber","test chamber",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control","Optical qual ctrl","optical qual ctrl","Calibration verification controls","calibration verification controls","Optical detector","optical detector","Test personnel","test personnel",,,,,,,0
31,,,Werfen,AVOXimeter,4000,,"O2Hb, COHb, MetHb,THb, O2","Werfen Diagnostics AVOXimeter 4000",Q-10021,199.000000,75.000000,Assessment,Co-oximetry,Active,"Werfen Diagnostics AVOXimeter 4000",460,AVOXimeter,4000,4000,"O2Hb, COHb, MetHb,THb, O2",Instrument,instrument,Cuvette,cuvette,"Test chamber","test chamber",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control","Optical qual ctrl","optical qual ctrl","Calibration verification controls","calibration verification controls","Optical detector","optical detector","Test personnel","test personnel",,,,,,,0
32,,,"CarePoint Solutions","Free Trial",Electrolytes,,"Na, K, Cl, TCO2","Carepoint Solutions Free Trial",Q-10022,199.000000,75.000000,Assessment,Chemistry,,"Carepoint Solutions Free Trial",10,"Free Trial",Electrolytes,Electrolytes,"Na, K, Cl, TCO2",Instrument,instrument,Cuvette,cuvette,"Test chamber","test chamber",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",,,"Calibration verification controls","calibration verification controls","Optical detector","optical detector","Test personnel","test personnel",,,,,,,0
33,,,POCT,"Unit Use Chemistry",Chemistry,,"List your analytes here:","Generic Unit Use IQCP Chemistry",Q-10023,199.000000,75.000000,Assessment,Chemistry,Active,"Generic Unit Use IQCP Chemistry",20,"Unit Use Chemistry",Chemistry,Chemistry,"List your analytes here:",Instrument,instrument,Consumable,consumable,"Test port","test port",,,Customizations,customizations,"Liquid control","liquid control","Equivalent quality control","equivalent quality control","Internal EQC","internal EQC","Calibration verification controls","calibration verification controls","Optical detector","optical detector","Test personnel","test personnel",,,,,,,0
34,,,POCT,"Unit Use Blood gas","Blood gas",,"List your analytes here:","Generic Unit Use Blood gas",Q-10024,199.000000,75.000000,Assessment,"Blood gas",Active,"Generic Unit Use Blood gas",30,"Unit Use Blood gas","Blood gas","Blood gas","List your analytes here:",Instrument,instrument,Consumable,consumable,"Test port","test port",,,Customizations,customizations,"Liquid control","liquid control","Equivalent quality control","equivalent quality control","Internal EQC","internal EQC","Calibration verification controls","calibration verification controls","Optical detector","optical detector","Test personnel","test personnel",,,,,,,0
35,,,Hologic®,"TLiIQ System","Rapid fFN®",,"Rapid fFN® ","Hologic TLiIQ System  Rapid fFN®",Q-10025,199.000000,75.000000,Assessment,Chemistry,Active,"Hologic TLiIQ System  Rapid fFN®",720,"TLiIQ System","Rapid fFN®",fFN,"Rapid fFN® ",Analyzer,analyzer,Cassette,cassette,"Cassette insertion site","cassette insertion site",,,Customizations,customizations,"Liquid control","liquid control",Qcette,Qcette,,,,,,,"Test personnel","test personnel",,,,,,,0
36,,,Werfen,"Jr. Sig.",ACT+,,ACT,"Werfen Hemochron® Jr. Sig. ACT",Q-10026,199.000000,75.000000,Assessment,Coagulation,Active,"Werfen Hemochron® Jr. Sig. ACT",600,"Jr. Sig.",ACT+,ACT+,ACT,Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal Electronic System verification",,,,,"Test personnel","test personnel",,,,,,,0
37,,,Werfen,"Jr. Sig.",ACT-LR,,ACT-LR,"Werfen Hemochron® Jr. Sig. ACT-LR",Q-10027,199.000000,75.000000,Assessment,Coagulation,Active,"Werfen Hemochron® Jr. Sig. ACT-LR",610,"Jr. Sig.",ACT-LR,ACT-LR,ACT-LR,Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal Electronic System verification",,,,,"Test personnel","test personnel",,,,,,,0
38,,,Werfen,"Jr. Sig.",PT,,PT,"Werfen Hemochron® Jr. Sig. PT",Q-10028,199.000000,75.000000,Assessment,Coagulation,Active,"Werfen Hemochron® Jr. Sig. PT",620,"Jr. Sig.",PT,PT,PT,Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal Electronic System verification",,,,,"Test personnel","test personnel",,,,,,,0
39,,,Werfen,"Jr. Sig.","Citrated PT",,"Citrated PT","Werfen Hemochron® Jr. Sig. Citrated PT",Q-10029,199.000000,75.000000,Assessment,Coagulation,Active,"Werfen Hemochron® Jr. Sig. Citrated PT",630,"Jr. Sig.","Citrated PT","Citrated PT","Citrated PT",Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal Electronic System verification",,,,,"Test personnel","test personnel",,,,,,,0
40,,,Werfen,"Jr. Sig.",APTT,,APTT,"Werfen Hemochron® Jr. Sig. APTT",Q-10030,199.000000,75.000000,Assessment,Coagulation,Active,"Werfen Hemochron® Jr. Sig. APTT",640,"Jr. Sig.",APTT,APTT,APTT,Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal electronic system verification",,,,,"Test personnel","test personnel",,,,,,,0
41,,,Werfen,"Signature Elite","Citrate APTT",,"Citrate APTT","Werfen Hemochron SigElite Citrate APTT",Q-10031,199.000000,75.000000,Assessment,Coagulation,,"Werfen Hemochron SigElite Citrate APTT",650,"Signature Elite","Citrate APTT","Citrate APTT","Citrate APTT",Device,device,"Test cuvette","test cuvette","Test chamber","test chamber",,,"Configuration options","configuration options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control","Internal Electronic System verification","internal electronic system verification",,,,,"Test personnel","test personnel",,,,,,,0
42,,,Werfen,Response,"Celite ACT",,"Celite ACT","Werfen Hemochron Response Celite ACT",Q-10032,199.000000,75.000000,Assessment,Coagulation,,"Werfen Hemochron Response Celite ACT",660,Response,"Celite ACT","Celite ACT","Celite ACT",Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
43,,,Werfen,Response,"Kaolin ACT",,"Kaolin ACT","WerfenHemochron Response Kaolin ACT",Q-10033,199.000000,75.000000,Assessment,Coagulation,,"WerfenHemochron Response Kaolin ACT",670,Response,"Kaolin ACT","Kaolin ACT","Kaolin ACT",Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
44,,,Werfen,Response,"Glass Particulate ACT",,"Glass Particulate ACT","Hemochron Response Glass particulate ACT",Q-10034,199.000000,75.000000,Assessment,Coagulation,,"Hemochron Response Glass particulate ACT",680,Response,"Glass Particulate ACT","Glass Particulate ACT","Glass Particulate ACT",Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
45,,,Werfen,Response,HRT,,HRT,"Werfen Hemochron Response HRT",Q-10035,199.000000,75.000000,Assessment,Coagulation,,"Werfen Hemochron Response HRT",690,Response,HRT,HRT,HRT,Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
46,,,Werfen,Response,PRT,,PRT,"Werfen Hemochron Response PRT",Q-10036,199.000000,75.000000,Assessment,Coagulation,,"Werfen Hemochron Response PRT",700,Response,PRT,PRT,PRT,Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
47,,,Werfen,Response,PDAO,,PDAO,"Werfen Hemochron Response PDAO",Q-10037,199.000000,75.000000,Assessment,Coagulation,,"Werfen Hemochron Response PDAO",710,Response,PDAO,PDAO,PDAO,Instrument,instrument,"Test tube","test tube","Test well","test well",,,"Program options","program options","Liquid quality control","liquid quality control","Liquid quality control","liquid quality control",,,,,,,"Test personnel","test personnel",,,,,,,0
48,,,Siemens,epoc,BGEM,,"pH, PCO2, PO2, Na+, K+, Ca++, Hct, Glu, Lac, Crea, Cl-","Siemens epoc® BGEM",Q-10038,199.000000,75.000000,Assessment,"Blood gas",Active,"Siemens epoc® BGEM",470,epoc,BGEM,BGEM,"pH, PCO2, PO2, Na+, K+, Ca++, Hct, Glu, Lac, Crea, Cl-",Reader,reader,"Test card","test card","Card slot","card slot",,,"Configuration options","configuration options","Fluid control","fluid control","Fluid control","fluid control","Electronic QC","electronic QC","Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
49,,,Roche,"CoaguChek XS Pro",PT/INR,,PT/INR,"Roche CoaguChek XS Pro",Q-10039,199.000000,75.000000,Assessment,Coagulation,Active,"Roche CoaguChek XS Pro",1150,"CoaguChek XS Pro",PT/INR,PT/INR,PT/INR,Meter,meter,"Test strip","test strip","Test strip guide","test strip guide",,,"Configuration options","configuration options","Control solution","control solution","Control solution","control solution",,,,,,,"Test personnel","test personnel",,,,,,,0
50,,,"Nova Biomedical",StatSensor,Creatinine,,Creatinine,"Nova StatSensor Creat",Q-10040,199.000000,75.000000,Assessment,Chemistry,Active,"Nova StatSensor Creat",905,StatSensor,Creatinine,Creatinine,Creatinine,Meter,meter,"Test strip","test strip","Strip port","strip port",,,"Configuration options","configuration options","Control solution","control solution","Control solution","control solution",,,,,,,"Test personnel","test personnel",,,,,,,0
51,,,"Waters Medical","Oxicom 2100",%O2Sat,,%O2Sat,"Waters Medical Oxicom 2100",Q-10041,199.000000,75.000000,Assessment,CO-Oximetry,Active,"Waters Medical Oxicom 2100",1430,"Oxicom 2100",%O2Sat,"blood oximetry",%O2Sat,Oximeter,oximeter,Cuvette,cuvette,"Sample chamber","sample chamber",,,"Configuration options","configuration options","External liquid QC","external liquid QC","QC filter","QC filter",,,,,"Sample chamber","sample chamber","Test personnel","test personnel",,,,,,,0
52,,,"Waters Medical","Oxicom 3000",%O2Sat/THb,,"%O2Sat, AVDiff, Ven, Ven%, Art, Art%, THb","Waters Medical Oxicom 3000",Q-10042,199.000000,75.000000,Assessment,Oximetry,Active,"Waters Medical Oxicom 3000",1440,"Oxicom 3000",%O2Sat/THb,"blood oximetry","%O2Sat, AVDiff, Ven, Ven%, Art, Art%, THb",Oximeter,oximeter,Cuvette,cuvette,"Sample chamber","sample chamber",,,"Configuration options","configuration options","External liquid QC","external liquid QC","QC filter","QC filter",,,,,"Sample chamber","sample chamber","Test personnel","test personnel",,,,,,,0
53,,,Abaxis,"Piccolo Xpress",CMP,,"ALB, ALP, ALT, AST, BUN, Ca, Cl-,CRE, eGFR* GLU, K+, Na+, TBIL, tCO2, TP","Abaxis Piccolo CMP",Q-10043,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo CMP",100,"Piccolo Xpress",CMP,CMP,"ALB, ALP, ALT, AST, BUN, Ca, Cl-,CRE, eGFR* GLU, K+, Na+, TBIL, tCO2, TP",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
54,,,Abaxis,"Piccolo Xpress",BMP,," BUN, Ca, CRE, eGFR*, GLU, Cl-, K+, Na+, tCO2","Abaxis Piccolo BMP",Q-10044,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo BMP",110,"Piccolo Xpress",BMP,BMP," BUN, Ca, CRE, eGFR*, GLU, Cl-, K+, Na+, tCO2",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
55,,,Abaxis,"Piccolo Xpress",Lipid,," CHOL, HDL, CHOL/HDL*, LDL*, TRIG, VLDL*, nHDLc*","Abaxis Piccolo Lipid",Q-10045,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo Lipid",120,"Piccolo Xpress",Lipid,Lipid," CHOL, HDL, CHOL/HDL*, LDL*, TRIG, VLDL*, nHDLc*",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
56,,,Abaxis,"Piccolo Xpress","Lipid Plus",,"CHOL, HDL, CHOL/HDL*, LDL*, TRIG, VLDL*, GLU, ALT, AST, nHDLc*","Abaxis Piccolo Lipid Plus",Q-10046,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo Lipid Plus",130,"Piccolo Xpress","Lipid Plus","Lipid Plus","CHOL, HDL, CHOL/HDL*, LDL*, TRIG, VLDL*, GLU, ALT, AST, nHDLc*",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
57,,,Abaxis,"Piccolo Xpress","Liver Plus",," ALB, ALP, ALT, AST, AMY, TBIL, TP, GGT","Abaxis Piccolo Liver Plus",Q-10047,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo Liver Plus",140,"Piccolo Xpress","Liver Plus","Liver Plus"," ALB, ALP, ALT, AST, AMY, TBIL, TP, GGT",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
58,,,Abaxis,"Piccolo Xpress",Electrolyte,," Cl-, K+, Na+, tCO2","Abaxis Piccolo Electrolyte",Q-10048,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo Electrolyte",150,"Piccolo Xpress",Electrolyte,Electrolyte," Cl-, K+, Na+, tCO2",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
59,,,Abaxis,"Piccolo Xpress","General Chem 13",,"ALB, ALP, ALT, AMY, AST, BUN, Ca, CRE, eGFR*, GGT, GLU, TBIL, TP, UA","Abaxis Piccolo General Chem 13",Q-10049,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo General Chem 13",160,"Piccolo Xpress","General Chem 13","General Chem 13","ALB, ALP, ALT, AMY, AST, BUN, Ca, CRE, eGFR*, GGT, GLU, TBIL, TP, UA",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
60,,,Abaxis,"Piccolo Xpress","General Chem 6",,"ALT, AST, CRE, eGFR*, GLU, BUN, GGT","Abaxis Piccolo General Chem 6",Q-10050,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo General Chem 6",170,"Piccolo Xpress","General Chem 6","General Chem 6","ALT, AST, CRE, eGFR*, GLU, BUN, GGT",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
61,,,Abaxis,"Piccolo Xpress","Renal Function",,"ALB, BUN, Ca, CRE, eGFR*, GLU, Cl-, K+, Na+, tCO2 PHOS","Abaxis Piccolo Renal Function",Q-10051,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo Renal Function",180,"Piccolo Xpress","Renal Function","Renal Function","ALB, BUN, Ca, CRE, eGFR*, GLU, Cl-, K+, Na+, tCO2 PHOS",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
62,,,Abaxis,"Piccolo Xpress","MetLyte 8",," Cl-, K+, Na+, tCO2, BUN, CK, CRE, eGFR*, GLU","Abaxis Piccolo MetLyte 8",Q-10052,199.000000,75.000000,Assessment,Chemistry,Active,"Abaxis Piccolo MetLyte 8",190,"Piccolo Xpress","MetLyte 8","MetLyte 8"," Cl-, K+, Na+, tCO2, BUN, CK, CRE, eGFR*, GLU",Analyzer,analyzer,Disc,disc,"Disc drawer","disc drawer",,,Customizations,customizations,"Liquid control","liquid control","Liquid control","liquid control",iQC,iQC,"Calibration verification fluids","calibration verification fluids",,,"Test personnel","test personnel",,,,,,,0
